DT_VENDA|QT_VENDIDA
01/01/14|161
01/02/14|108
01/03/14|111
01/04/14|142
01/05/14|115
01/06/14|121
01/07/14|179
01/08/14|83
01/09/14|118
01/10/14|144
01/11/14|72
01/12/14|87
01/01/15|53
01/02/15|59
01/03/15|86
01/04/15|58
01/05/15|77
01/06/15|67
01/07/15|58
01/08/15|58
01/09/15|50
01/10/15|61
01/11/15|62
01/12/15|66
01/01/16|64
01/02/16|54
01/03/16|46
01/04/16|53
01/05/16|35
01/06/16|29
01/07/16|24
01/08/16|25
01/09/16|34
01/10/16|44
01/11/16|58
01/12/16|34
01/01/17|53
01/02/17|53
01/03/17|56
01/04/17|26
01/05/17|57
01/06/17|85
01/07/17|54
01/08/17|43
01/09/17|18
01/10/17|89
01/11/17|42
01/12/17|64
01/01/18|140
01/02/18|109
01/03/18|140
01/04/18|38
01/05/18|52
01/06/18|66
01/07/18|78
01/08/18|89
01/09/18|72
01/10/18|64
01/11/18|63
01/12/18|97
01/01/19|121
01/02/19|58
01/03/19|79
01/04/19|54
01/05/19|67
01/06/19|61
01/07/19|44
01/08/19|60
01/09/19|63
01/10/19|39
01/11/19|31
01/12/19|55
01/01/20|30
01/02/20|30
01/03/20|76
01/04/20|10
01/05/20|29
01/06/20|11
01/07/20|16
01/08/20|7
